"JP105F7W"	"JP51F7W"	"JP64F7W"	"JP66F7W"	"JP77F7W"	"JP166F7W"	"JP258F7W"	"JP257F7W"	"JP190F7W"	"JP23F7W"	"JP31F7W"	"JP117F7W"	"JP110F7W"	"JP411F7W"	"JP124F7W"	"JP104F7W"	"JP136F7W"	"JP9F7W"	"JP260F7W"	"JP81F7W"	"JP10F7W"	"JP403F7W"	"JP401F7W"	"JP129F7W"	"JP133F7W"	"JP20F7W"	"JP106F7W"	"JP103F7W"	"JP146F7W"	"JP45F7W"	"JP165F7W"	"JP48F7W"	"JP205F7W"	"JP83F7W"	"JP410F7W"	"JP119F7W"	"JP24F7W"	"JP221F7W"	"JP108F7W"	"JP78F7W"	"JP112F7W"	"JP116F7W"	"JP16F7W"	"JP409F7W"	"JP160F7W"	"JP3F7W"	"JP18F7W"	"JP131F7W"	"JP111F7W"	"JP107F7W"	"JP259F7W"	"JP39F7W"	"JP222F7W"	"JP22F7W"	"JP118F7W"	"JP97F7W"	"JP38F7W"	"JP187F7W"	"JP132F7W"	"JP201F7W"	"JP76F7W"	"JP102F7W"	"JP5F7W"	"JP59F7W"	"JP151F7W"	"JP88F7W"	"JP30F7W"	"JP43F7W"	"JP82F7W"	"JP67F7W"	"JP71F7W"	"JP162F7W"	"JP27F7W"	"JP120F7W"	"JP84F7W"	"JP123F7W"	"JP121F7W"	"JP156F7W"	"JP139F7W"	"JP114F7W"	"JP21F7W"	"JP11F7W"	"JP13F7W"	"JP223F7W"	"JP86F7W"	"JP2F7W"	"JP155F7W"	"JP1F7W"	"JP154F7W"	"JP159F7W"	"JP182F7W"	"JP12F7W"	"JP15F7W"	"JP202F7W"	"JP141F7W"	"JP406F7W"	"JP89F7W"	"JP19F7W"	"JP101F7W"	"JP184F7W"	"JP53F7W"	"JP186F7W"	"JP185F7W"	"JP85F7W"	"JP17F7W"	"JP98F7W"	"JP75F7W"	"JP33F7W"	"JP25F7W"	"JP163F7W"	"JP169F7W"	"JP74F7W"	"JP55F7W"	"JP130F7W"	"JP183F7W"	"JP58F7W"	"JP170F7W"	"JP4F7W"	"JP44F7W"	"JP72F7W"	"JP224F7W"	"JP79F7W"	"JP152F7W"	"JP137F7W"	"JP87F7W"	"JP153F7W"	"JP29F7W"	"JP99F7W"	"JP172F7W"	"JP157F7W"	"JP138F7W"	"JP63F7W"	"JP173F7W"	"JP191F7W"	"JP253F7W"	"JP52F7W"	"JP6F7W"	"JP206F7W"	"JP158F7W"	"JP70F7W"	"JP181F7W"	"JP192F7W"	"JP56F7W"	"JP57F7W"	"JP54F7W"	"JP174F7W"	"JP60F7W"	"JP73F7W"	"JP177F7W"	"JP62F7W"	"JP179F7W"	"JP189F7W"	"JP188F7W"	"JP69F7W"	"161FW6"	"454FW6"	"455FW6"	"451FW8"	"109FW7"	"113FW7"	"8FW6"	"402F7W"	"198FW7"	"145F7W"	"454FW8"	"199FW7"	"171FW6"	"144F7W"	"164FW6"	"65FW7"	"68FW7"	"200FW7"	"455FW8"
"114510"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	25	32	12	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	8	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	3	0	0
"3610691"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"4452613"	73	45	0	0	0	0	0	0	0	0	11	27	79	4	13	64	22	0	5	2	0	0	7	34	13	0	86	91	18	0	1	5	1	0	7	6	0	0	57	1	78	98	0	12	0	0	11	36	70	70	9	11	3	8	4	0	6	2	18	6	0	48	0	0	0	2	7	7	1	0	0	2	2	1	3	42	7	0	8	47	0	0	0	0	1	1	0	0	0	1	8	0	2	7	14	3	2	2	23	14	1	23	2	7	8	0	0	2	0	0	0	0	3	12	0	0	0	1	2	0	0	0	0	11	1	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"192342"	69	57	0	0	0	0	1	0	0	0	37	46	63	14	42	77	35	0	96	4	0	24	6	37	39	0	52	92	25	1	0	80	71	78	23	13	0	0	59	1	63	91	3	25	0	0	8	33	56	49	47	16	2	2	12	0	14	4	40	10	2	44	0	0	0	3	9	24	5	1	0	2	1	12	2	52	7	0	20	37	0	0	1	3	9	1	1	0	0	5	11	0	1	59	13	12	16	4	26	25	3	24	0	30	9	0	0	38	0	0	0	0	6	8	0	0	0	0	124	0	0	0	0	22	3	0	4	0	0	0	14	0	0	0	0	1	2	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	10	1	8	0	22	0	0	0	29	0	0	5	0	0
"119010"	36	19	0	0	0	0	0	1	0	0	11	24	21	3	30	27	21	0	13	3	0	1	6	19	20	0	21	38	20	1	0	6	10	4	14	9	0	1	34	1	34	41	0	12	0	0	5	10	28	11	14	7	2	1	2	0	2	0	16	2	1	24	0	0	1	6	4	4	2	0	0	0	0	6	1	20	5	0	9	20	0	0	0	2	2	0	0	0	1	1	8	0	0	10	12	3	5	8	14	11	2	8	0	0	2	0	0	4	0	0	0	0	4	10	1	0	0	0	11	1	0	0	0	12	1	0	2	0	0	0	4	1	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	2	1	4	0	20	0	0	0	14	0	0	0	1	0
"281015"	1	1	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	28	0	0	9	0	1	0	0	1	0	1	0	0	17	18	17	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	22	0	0	7	0	0	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0	35	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	0	0	2	0	0	0	0	0
"144814"	63	67	0	0	0	0	0	0	0	0	17	49	63	17	45	63	51	0	40	10	1	13	11	57	51	0	73	115	47	1	2	15	15	22	24	16	0	0	82	11	66	98	0	45	1	0	15	44	79	52	36	9	1	3	13	0	7	6	56	8	3	68	0	0	0	2	15	12	2	0	0	2	2	13	3	88	13	0	30	38	0	1	1	1	2	0	0	0	0	3	14	0	0	27	39	11	8	8	25	39	1	30	0	5	7	0	0	9	1	2	0	0	6	23	0	0	1	1	42	0	0	0	0	31	5	0	3	0	0	0	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	10	2	1	19	0	44	0	0	3	52	1	0	3	2	0
"746679"	20	17	0	0	0	0	1	0	0	0	4	11	7	5	8	30	12	0	5	1	0	2	5	13	21	0	12	34	10	0	0	2	1	1	10	3	0	0	11	0	13	29	0	11	0	0	4	8	24	13	8	2	1	1	6	0	6	0	9	3	2	14	0	0	0	0	2	0	2	0	0	0	4	2	3	19	1	0	6	12	0	0	0	1	1	0	0	0	0	0	6	0	0	10	6	4	4	2	2	7	2	7	0	2	1	0	0	0	0	0	0	0	1	7	0	0	0	0	13	0	0	0	0	7	0	0	1	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	12	0	0	0	16	0	0	1	0	0
"228556"	25	13	0	0	0	0	0	0	0	0	5	15	22	2	19	30	11	0	4	0	0	6	1	21	23	0	21	65	10	1	0	5	4	4	17	4	0	1	32	3	20	35	0	8	0	0	6	15	18	15	11	6	0	0	6	0	4	4	16	5	2	23	0	0	0	1	1	3	0	0	0	0	0	7	1	28	2	0	9	11	0	0	0	0	1	0	0	0	1	0	3	0	0	8	16	4	2	9	14	16	2	17	0	3	2	0	0	2	0	0	0	0	0	5	0	0	0	0	18	0	0	0	0	10	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	10	0	0	0	19	0	0	1	0	0
"668514"	4403	3324	0	1	2	2	4	0	0	2	1142	3251	4381	832	2574	4694	2770	4	1556	306	4	509	674	3455	3643	9	4424	6913	2395	108	13	829	462	538	1846	822	2	44	4323	216	4968	6838	7	1875	16	4	1119	2371	4741	3619	2175	676	64	308	787	2	600	353	2839	479	118	4366	7	21	1	216	501	657	367	1	1	19	194	662	256	3760	837	1	1691	2463	0	3	12	100	182	13	3	4	1	22	476	0	4	1418	1858	470	358	545	1849	1844	220	1701	61	549	603	2	1	520	5	12	1	0	334	1242	6	1	2	3	1910	1	34	6	0	1642	160	0	366	3	0	0	936	0	0	1	0	4	2	1170	3	0	16	0	0	2	1	0	1	1	0	1	0	0	0	0	26	0	0	1	609	185	74	771	0	3038	0	0	47	3501	37	0	73	28	0
"91962"	179	93	0	0	0	0	0	0	0	1	33	76	213	9	79	144	67	1	14	9	3	3	14	85	87	0	225	264	87	1	3	8	5	10	29	23	0	2	155	2	244	283	1	19	3	0	14	64	192	165	31	16	0	8	21	0	19	12	87	7	12	173	1	0	1	6	11	32	4	0	0	8	2	15	3	177	10	0	23	133	0	0	6	4	4	1	0	0	0	15	27	0	5	22	35	4	3	10	46	48	1	42	0	14	14	2	0	12	3	4	0	0	5	38	0	0	0	0	7	0	0	0	0	33	5	0	8	0	1	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	20	48	0	86	0	0	1	108	2	0	1	4	0
"2119418"	198	40	2	6	1	0	2	0	0	31	12	150	993	6	227	155	89	31	82	24	38	19	38	109	196	25	436	573	123	6	111	38	4	8	26	242	18	2	323	21	408	731	47	23	255	78	15	83	342	195	73	8	1	69	242	0	4	52	381	9	83	391	110	1	5	4	109	59	3	0	0	147	6	310	0	917	207	5	47	136	5	15	135	2	3	112	1	22	1	235	62	2	36	114	98	9	8	18	160	55	37	96	5	8	17	3	0	5	40	158	1	0	30	77	0	0	0	23	41	1	0	2	0	32	1	8	18	2	0	1	31	0	2	0	1	0	57	10	1	0	50	2	0	0	3	0	4	0	1	0	2	0	0	0	272	0	0	1	13	4	680	52	0	150	0	1	389	232	299	1	1	355	0
"4384058"	3	1	0	0	0	0	0	0	0	0	0	0	4	2	2	2	3	0	1	0	0	66	89	2	1	0	1	3	24	0	0	0	0	1	3	1	0	0	6	0	0	6	0	3	0	0	1	2	3	3	1	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	5	0	1	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	144	0	45	0	0	1	106	1	0	0	0	0
"4376230"	16	6	0	0	0	0	0	0	0	0	1	5	16	2	10	17	7	0	0	0	0	0	1	13	4	0	8	14	5	0	1	1	0	0	2	0	0	0	8	1	6	13	0	3	0	0	1	5	12	9	4	2	0	0	3	0	3	2	5	1	0	8	0	0	0	1	0	3	1	0	0	0	0	1	0	11	2	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	2	0	7	5	0	2	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	3	0	9	0	0	0	8	0	0	0	0	0
"114462"	123	92	0	0	0	0	1	0	0	0	48	92	112	28	55	86	86	1	62	3	2	17	11	96	78	0	147	145	79	5	2	34	16	16	59	35	1	0	103	17	159	175	0	65	6	0	41	71	155	86	79	18	2	19	35	0	16	14	73	12	4	110	1	0	0	7	20	28	9	0	0	1	4	38	12	98	27	1	59	64	0	2	1	0	16	2	0	0	0	1	19	0	0	55	78	22	8	23	39	55	13	55	1	24	19	0	0	18	0	1	0	0	16	34	0	0	2	0	89	0	0	0	1	69	7	0	16	0	0	0	40	0	0	0	1	0	0	26	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	18	10	9	13	0	70	0	0	10	78	3	0	3	3	0
"581021"	23	18	0	0	0	0	0	0	0	0	1	23	19	4	9	27	16	0	10	0	0	0	3	11	10	0	23	31	11	1	0	3	4	2	9	3	0	0	27	0	20	36	0	7	2	1	6	10	15	17	6	3	0	1	4	0	0	0	17	1	1	22	0	0	0	0	1	2	0	1	0	1	1	8	1	23	4	0	8	10	0	0	0	2	0	0	0	0	0	3	1	1	1	2	6	2	1	4	4	4	1	7	0	1	5	0	0	2	0	1	0	0	1	8	0	0	0	0	10	0	0	0	0	8	0	0	2	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	0	12	0	0	3	10	1	0	1	1	0
"816702"	556	482	0	3	0	0	0	0	0	6	168	363	582	124	323	534	340	1	228	41	5	56	95	410	410	2	511	826	282	11	9	137	56	62	269	127	0	4	500	47	628	784	5	244	8	4	169	283	599	398	293	106	14	44	105	0	81	64	345	65	33	545	12	3	1	30	66	84	34	0	0	5	23	125	29	483	148	1	259	335	0	0	8	11	30	10	3	1	2	11	92	0	1	199	245	76	48	80	226	244	47	211	6	83	83	0	1	68	2	4	2	0	60	164	1	0	1	0	248	0	8	1	0	203	20	0	46	0	0	1	114	0	1	0	0	2	3	149	1	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	9	0	0	0	87	26	21	103	0	292	0	0	21	362	21	0	10	10	1
"197286"	17	9	0	0	0	0	0	0	0	0	6	7	12	2	9	19	7	0	14	2	1	4	2	8	9	0	18	17	7	0	0	11	12	4	3	1	0	0	15	1	19	23	0	6	0	0	6	18	17	14	8	2	1	0	4	0	3	1	4	1	0	15	0	0	0	1	4	5	0	0	0	0	0	3	3	17	1	0	5	7	0	0	0	0	2	0	0	0	0	0	2	0	0	6	2	1	1	4	7	5	1	5	0	3	1	0	0	6	0	0	0	0	0	3	0	0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	1	0	0
"134671"	10	0	0	0	0	1	0	0	0	0	2	1	5	1	2	11	1	0	3	0	0	1	0	8	2	0	8	8	5	0	2	2	0	0	1	4	0	0	7	2	6	10	0	3	2	0	2	2	7	4	2	0	0	1	2	0	0	1	8	1	2	7	1	0	0	0	1	0	0	0	0	2	0	2	0	15	3	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	2	0	1	2	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	2	1	0	0	1	0
"345540"	185	117	0	0	1	2	1	0	0	0	36	80	146	34	82	164	80	0	77	8	0	22	18	107	112	0	160	210	60	2	1	35	20	10	70	30	0	1	159	4	185	224	0	57	1	0	27	78	154	131	78	28	2	10	27	0	23	14	87	8	3	126	0	1	0	7	16	25	14	1	0	1	6	24	7	116	33	0	39	97	0	0	0	6	7	0	0	1	0	0	12	0	0	47	74	18	16	30	73	64	13	61	0	32	25	0	0	19	0	0	0	0	20	52	1	0	0	0	81	0	3	1	0	46	6	0	11	0	0	2	32	1	1	0	0	0	1	43	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	14	7	0	26	0	83	0	0	0	99	0	0	4	0	0
